ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;65.161009;126.75;2022-10-04;2022-10-11
BBAR;17.392664;304.9;2022-10-04;2022-10-11
BMA;35.269709;438.4;2022-10-04;2022-10-11
BYMA;33.32997;176.5;2022-10-04;2022-10-11
CEPU;71.987861;130.95;2022-10-04;2022-10-11
COME;264.721877;14.35;2022-10-04;2022-10-11
CRES;31.184608;159.05;2022-10-04;2022-10-11
GGAL;101.294149;231.45;2022-10-04;2022-10-11
IRSA;30.48721;120.25;2022-10-04;2022-10-11
LOMA;23.863678;399.15;2022-10-04;2022-10-11
MIRG;0.747865;3639.5;2022-10-04;2022-10-11
PAMP;73.998353;279.85;2022-10-04;2022-10-11
SUPV;25.017552;109;2022-10-04;2022-10-11
TECO2;17.362749;251.95;2022-10-04;2022-10-11
TGNO4;7.458248;149;2022-10-04;2022-10-11
TGSU2;19.783537;478;2022-10-04;2022-10-11
TRAN;17.869678;86.5;2022-10-04;2022-10-11
TXAR;104.068278;147.5;2022-10-04;2022-10-11
VALO;70.956316;60.5;2022-10-04;2022-10-11
YPFD;16.335749;2070;2022-10-04;2022-10-11
