ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;65.895946;226.25;2023-01-05;2023-03-29
BBAR;17.588831;561.1;2023-01-05;2023-03-29
BMA;31.592436;738.35;2023-01-05;2023-03-29
BYMA;45.151323;300;2023-01-05;2023-03-29
CEPU;69.275407;224.5;2023-01-05;2023-03-29
COME;267.707616;23.1;2023-01-05;2023-03-29
CRES;30.686134;253.5;2023-01-05;2023-03-29
EDN;35.29504;158.35;2023-01-05;2023-03-29
GGAL;102.436622;460.2;2023-01-05;2023-03-29
LOMA;23.920876;563.4;2023-01-05;2023-03-29
MIRG;0.756299;5344.5;2023-01-05;2023-03-29
PAMP;72.631648;517.8;2023-01-05;2023-03-29
SUPV;24.365714;185.85;2023-01-05;2023-03-29
TECO2;24.066709;400.45;2023-01-05;2023-03-29
TGNO4;7.542368;433;2023-01-05;2023-03-29
TGSU2;18.617102;814.6;2023-01-05;2023-03-29
TRAN;18.071226;211.5;2023-01-05;2023-03-29
TXAR;109.985513;271;2023-01-05;2023-03-29
VALO;71.756616;76.4;2023-01-05;2023-03-29
YPFD;16.375044;4442.9;2023-01-05;2023-03-29
