ticker;cantidades_vigentes;close;fecha_cantidades_vigentes;fecha_precio
ALUA;65.577571;85.5;2022-06-13;2022-06-15
BBAR;17.503851;203.5;2022-06-13;2022-06-15
BMA;34.597238;299.8;2022-06-13;2022-06-15
BYMA;2.377226;1201;2022-06-13;2022-06-15
CEPU;98.927452;76.05;2022-06-13;2022-06-15
COME;266.414193;10.55;2022-06-13;2022-06-15
CRES;22.971331;132.8;2022-06-13;2022-06-15
EDN;35.112545;57.5;2022-06-13;2022-06-15
GGAL;101.941702;179.35;2022-06-13;2022-06-15
LOMA;24.016226;255;2022-06-13;2022-06-15
MIRG;0.759194;3419;2022-06-13;2022-06-15
PAMP;65.901566;197.35;2022-06-13;2022-06-15
SUPV;25.308769;71;2022-06-13;2022-06-15
TECO2;12.851635;223.7;2022-06-13;2022-06-15
TGNO4;7.505927;87.6;2022-06-13;2022-06-15
TGSU2;16.924872;265.7;2022-06-13;2022-06-15
TRAN;17.983915;53.8;2022-06-13;2022-06-15
TXAR;107.358531;110;2022-06-13;2022-06-15
VALO;71.290975;38.1;2022-06-13;2022-06-15
YPFD;16.44018;894.4;2022-06-13;2022-06-15
